"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","116.79","116.82","116.85","116.79","10.01K","0.01%"
"Dec 30, 2020","116.78","116.78","116.80","116.78","0.03K","-0.01%"
"Dec 28, 2020","116.79","116.79","116.79","116.75","0.75K","-0.01%"
"Dec 24, 2020","116.80","116.80","116.80","116.80","-","0.00%"
"Dec 23, 2020","116.79","116.79","116.79","116.79","-","-0.01%"
"Dec 22, 2020","116.81","116.81","116.81","116.81","-","0.00%"
"Dec 21, 2020","116.81","116.81","116.83","116.81","0.00K","0.00%"
"Dec 18, 2020","116.81","116.81","116.81","116.79","0.01K","-0.00%"
"Dec 17, 2020","116.82","116.82","116.82","116.82","-","0.00%"
"Dec 16, 2020","116.82","116.82","116.82","116.82","-","0.00%"
"Dec 15, 2020","116.82","116.82","116.82","116.81","0.02K","0.00%"
"Dec 14, 2020","116.82","116.82","116.82","116.82","-","0.00%"
"Dec 11, 2020","116.82","116.82","116.82","116.82","-","0.00%"
"Dec 10, 2020","116.82","116.83","116.83","116.81","0.01K","-0.00%"
"Dec 09, 2020","116.83","116.83","116.83","116.83","-","-0.01%"
"Dec 08, 2020","116.84","116.83","116.84","116.83","-","0.00%"
"Dec 07, 2020","116.84","116.84","116.84","116.84","-","0.00%"
"Dec 04, 2020","116.84","116.84","116.84","116.84","-","0.00%"
"Dec 03, 2020","116.83","116.84","116.85","116.83","0.03K","0.00%"
"Dec 02, 2020","116.84","116.84","116.84","116.84","-","0.00%"
"Dec 01, 2020","116.84","116.85","116.85","116.84","-","-0.00%"
"Nov 30, 2020","116.85","116.82","116.85","116.82","0.04K","0.00%"
"Nov 27, 2020","116.85","116.82","116.86","116.82","0.12K","0.01%"
"Nov 26, 2020","116.83","116.85","116.85","116.83","0.01K","0.00%"
"Nov 25, 2020","116.84","116.85","116.85","116.84","-","-0.01%"
"Nov 24, 2020","116.86","116.86","116.86","116.86","-","0.00%"
"Nov 23, 2020","116.86","116.86","116.86","116.86","-","0.00%"
"Nov 20, 2020","116.86","116.86","116.88","116.86","0.03K","0.00%"
"Nov 18, 2020","116.86","116.87","116.87","116.85","0.02K","-0.01%"
"Nov 16, 2020","116.88","116.88","116.90","116.88","0.03K","0.00%"
"Nov 13, 2020","116.88","116.88","116.88","116.88","-","-0.00%"
"Nov 12, 2020","116.89","116.88","116.89","116.88","-","0.00%"
"Nov 11, 2020","116.89","116.89","116.89","116.89","-","0.00%"
"Nov 10, 2020","116.89","116.86","116.89","116.86","0.44K","-0.01%"
"Nov 09, 2020","116.90","116.89","116.90","116.89","0.01K","0.00%"
"Nov 06, 2020","116.90","116.90","116.90","116.88","0.11K","-0.02%"
"Nov 05, 2020","116.93","116.90","116.93","116.88","3.38K","0.02%"
"Nov 04, 2020","116.90","116.85","116.93","116.85","5.85K","-0.01%"
"Nov 02, 2020","116.92","116.92","116.94","116.92","0.50K","0.00%"
"Oct 30, 2020","116.91","116.87","116.91","116.87","0.05K","0.00%"
"Oct 29, 2020","116.91","116.92","116.92","116.88","0.02K","0.00%"
"Oct 28, 2020","116.91","116.93","116.93","116.91","8.50K","-0.01%"
"Oct 27, 2020","116.93","116.93","116.93","116.90","0.02K","0.00%"
"Oct 26, 2020","116.93","116.93","116.93","116.93","-","-0.01%"
"Oct 23, 2020","116.94","116.93","116.94","116.93","-","0.00%"
"Oct 22, 2020","116.94","116.93","116.94","116.93","-","0.00%"
"Oct 21, 2020","116.94","116.94","116.94","116.94","-","0.00%"
"Oct 20, 2020","116.95","116.94","116.95","116.94","-","0.00%"
"Oct 19, 2020","116.95","116.94","116.95","116.94","-","0.00%"
"Oct 16, 2020","116.95","116.92","116.97","116.92","0.11K","0.00%"
"Oct 14, 2020","116.94","116.92","116.94","116.92","0.18K","0.00%"
"Oct 13, 2020","116.94","116.92","116.94","116.92","-","0.00%"
"Oct 12, 2020","116.94","116.96","116.96","116.94","-","0.00%"
"Oct 09, 2020","116.94","116.96","116.96","116.94","-","-0.01%"
"Oct 08, 2020","116.96","116.96","116.96","116.96","-","0.00%"
"Oct 07, 2020","116.96","116.96","116.96","116.96","-","0.00%"
"Oct 06, 2020","116.96","116.96","116.96","116.96","-","0.00%"
"Oct 05, 2020","116.96","116.96","116.96","116.96","-","0.00%"
"Oct 02, 2020","116.96","116.96","117.00","116.96","0.00K","0.01%"
"Sep 30, 2020","116.95","116.97","116.97","116.94","0.23K","-0.02%"
"Sep 29, 2020","116.97","116.97","116.97","116.94","0.01K","0.00%"
"Sep 28, 2020","116.97","116.91","116.97","116.91","0.01K","0.00%"
"Sep 25, 2020","116.97","116.97","116.97","116.97","-","0.00%"
"Sep 24, 2020","116.97","116.96","117.00","116.95","0.36K","-0.00%"
"Sep 23, 2020","116.98","116.96","116.98","116.96","0.78K","0.00%"
"Sep 22, 2020","116.98","116.92","116.98","116.92","0.01K","0.00%"
"Sep 21, 2020","116.99","116.99","117.01","116.96","10.23K","0.01%"
"Sep 18, 2020","116.97","116.96","116.97","116.96","1.35K","0.01%"
"Sep 17, 2020","116.96","116.93","116.99","116.93","0.11K","-0.01%"
"Sep 15, 2020","116.97","117.00","117.03","116.97","10.70K","-0.02%"
"Sep 14, 2020","117.00","117.04","117.04","117.00","0.00K","0.02%"
"Sep 11, 2020","116.98","116.99","116.99","116.97","0.26K","-0.02%"
"Sep 10, 2020","117.00","116.99","117.00","116.99","-","-0.00%"
"Sep 09, 2020","117.01","116.99","117.01","116.99","-","0.00%"
"Sep 08, 2020","117.00","116.99","117.00","116.98","0.02K","-0.01%"
"Sep 07, 2020","117.01","117.00","117.01","117.00","-","0.00%"
"Sep 04, 2020","117.01","116.99","117.04","116.99","0.02K","0.02%"
"Sep 03, 2020","117.00","117.00","117.00","116.99","0.01K","-0.02%"
"Sep 02, 2020","117.01","117.00","117.01","117.00","-","-0.01%"
"Sep 01, 2020","117.03","117.01","117.03","117.01","-","-0.01%"
"Aug 31, 2020","117.04","117.06","117.06","117.04","0.00K","0.00%"
"Aug 28, 2020","117.04","117.04","117.04","117.04","-","-0.02%"
"Aug 27, 2020","117.06","117.01","117.06","117.01","0.16K","0.03%"
"Aug 26, 2020","117.03","117.01","117.03","117.01","-","-0.01%"
"Aug 25, 2020","117.04","117.03","117.04","117.01","0.24K","0.00%"
"Aug 24, 2020","117.04","117.03","117.04","117.03","-","0.00%"
"Aug 21, 2020","117.04","117.03","117.04","117.03","-","0.00%"
"Aug 20, 2020","117.04","117.03","117.04","117.03","-","-0.00%"
"Aug 19, 2020","117.05","117.04","117.05","117.03","10.00K","0.02%"
"Aug 18, 2020","117.03","117.01","117.03","117.01","2.58K","-0.00%"
"Aug 14, 2020","117.04","117.05","117.08","117.04","5.35K","-0.02%"
"Aug 13, 2020","117.06","117.05","117.09","117.05","0.00K","-0.00%"
"Aug 12, 2020","117.07","117.06","117.07","117.06","-","-0.01%"
"Aug 11, 2020","117.07","117.06","117.07","117.06","-","0.00%"
"Aug 10, 2020","117.07","117.07","117.07","117.05","0.02K","0.00%"
"Aug 07, 2020","117.07","117.07","117.07","117.07","-","-0.00%"
"Aug 06, 2020","117.08","117.08","117.08","117.08","-","0.00%"
"Aug 05, 2020","117.08","117.08","117.08","117.08","-","0.00%"
"Aug 04, 2020","117.08","117.04","117.10","117.04","4.96K","0.01%"
"Aug 03, 2020","117.07","117.07","117.07","117.07","-","-0.01%"
"Jul 31, 2020","117.08","117.08","117.08","117.08","-","0.00%"
"Jul 30, 2020","117.08","117.08","117.11","117.08","0.03K","-0.02%"
"Jul 29, 2020","117.11","117.07","117.11","117.07","0.02K","0.01%"
"Jul 27, 2020","117.10","117.10","117.10","117.10","-","0.00%"
"Jul 24, 2020","117.10","117.09","117.13","117.09","0.11K","0.00%"
"Jul 22, 2020","117.10","117.25","117.25","117.10","0.01K","-0.01%"
"Jul 21, 2020","117.11","116.94","117.13","116.94","0.04K","0.00%"
"Jul 20, 2020","117.11","117.11","117.11","117.11","-","0.00%"
"Jul 17, 2020","117.11","117.13","117.14","117.11","0.06K","-0.01%"
"Jul 16, 2020","117.12","117.09","117.12","117.09","0.01K","0.01%"
"Jul 14, 2020","117.11","117.18","117.18","117.11","0.13K","-0.02%"
"Jul 13, 2020","117.13","117.13","117.13","117.13","-","0.01%"
"Jul 10, 2020","117.12","117.10","117.12","117.10","0.01K","0.00%"
"Jul 09, 2020","117.12","117.10","117.12","117.10","0.49K","-0.03%"
"Jul 08, 2020","117.15","117.15","117.15","117.15","0.01K","0.03%"
"Jul 07, 2020","117.13","117.10","117.13","117.10","0.14K","0.00%"
"Jul 06, 2020","117.13","117.11","117.13","117.11","-","0.01%"
"Jul 03, 2020","117.11","117.11","117.11","117.11","-","-0.01%"
"Jul 02, 2020","117.13","117.11","117.13","117.11","-","0.00%"
"Jul 01, 2020","117.13","117.07","117.13","117.07","-","-0.01%"
"Jun 30, 2020","117.14","117.14","117.14","117.11","0.18K","0.00%"
"Jun 29, 2020","117.14","117.14","117.14","117.12","0.06K","0.02%"
"Jun 26, 2020","117.12","117.14","117.14","117.12","10.09K","-0.01%"
"Jun 25, 2020","117.13","117.21","117.21","117.12","13.00K","0.00%"
"Jun 23, 2020","117.13","117.19","117.19","117.13","0.58K","-0.03%"
"Jun 22, 2020","117.16","117.15","117.16","117.13","37.95K","0.00%"
"Jun 19, 2020","117.15","117.15","117.15","117.13","0.01K","0.02%"
"Jun 18, 2020","117.13","117.15","117.15","117.13","5.00K","0.02%"
"Jun 16, 2020","117.11","117.15","117.15","117.11","1.04K","-0.03%"
"Jun 15, 2020","117.14","117.15","117.15","117.14","0.03K","-0.01%"
"Jun 12, 2020","117.15","117.15","117.15","117.15","-","0.00%"
"Jun 11, 2020","117.15","117.15","117.18","117.13","0.06K","-0.00%"
"Jun 10, 2020","117.16","117.23","117.23","117.14","8.52K","0.00%"
