"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2020","111.90","111.89","111.90","111.85","1.38K","0.05%"
"Dec 29, 2020","111.84","111.85","111.92","111.84","2.01K","-0.07%"
"Dec 28, 2020","111.92","111.83","111.92","111.83","7.19K","0.09%"
"Dec 23, 2020","111.82","111.90","111.92","111.82","2.60K","-0.10%"
"Dec 22, 2020","111.93","111.91","111.93","111.87","4.96K","0.01%"
"Dec 21, 2020","111.92","111.92","111.94","111.90","4.87K","0.04%"
"Dec 18, 2020","111.88","111.92","111.94","111.88","10.93K","0.00%"
"Dec 17, 2020","111.88","111.92","111.97","111.88","10.61K","-0.02%"
"Dec 16, 2020","111.90","111.96","111.99","111.90","5.44K","-0.04%"
"Dec 15, 2020","111.95","112.01","112.02","111.95","3.54K","0.03%"
"Dec 14, 2020","111.92","111.96","112.00","111.92","12.08K","0.26%"
"Dec 11, 2020","111.63","111.99","112.02","111.63","18.09K","-0.25%"
"Dec 10, 2020","111.91","112.00","112.01","111.91","5.83K","-0.01%"
"Dec 09, 2020","111.92","111.97","112.00","111.92","12.26K","0.01%"
"Dec 07, 2020","111.91","111.89","111.96","111.89","15.64K","0.04%"
"Dec 04, 2020","111.86","111.91","111.95","111.52","21.38K","0.05%"
"Dec 03, 2020","111.80","111.91","111.94","111.80","18.09K","-0.10%"
"Dec 02, 2020","111.91","111.90","111.91","111.86","4.70K","0.01%"
"Dec 01, 2020","111.90","111.95","111.95","111.88","3.61K","-0.04%"
"Nov 30, 2020","111.95","111.94","111.97","111.92","16.04K","-0.47%"
"Nov 27, 2020","112.48","111.93","112.48","111.92","15.37K","0.50%"
"Nov 26, 2020","111.92","111.96","111.96","111.91","1.93K","0.01%"
"Nov 25, 2020","111.91","111.95","111.96","111.91","6.71K","-0.05%"
"Nov 24, 2020","111.97","111.93","111.97","111.92","6.75K","0.04%"
"Nov 23, 2020","111.92","111.97","111.97","111.89","43.81K","0.00%"
"Nov 20, 2020","111.92","111.95","111.95","111.90","7.00K","0.02%"
"Nov 19, 2020","111.90","111.91","111.94","111.90","4.07K","-0.04%"
"Nov 18, 2020","111.95","111.96","111.96","111.91","3.18K","-0.01%"
"Nov 17, 2020","111.96","111.88","111.96","111.88","6.36K","0.01%"
"Nov 16, 2020","111.95","111.96","111.96","111.88","4.91K","0.01%"
"Nov 13, 2020","111.94","111.90","111.94","111.89","5.00K","0.06%"
"Nov 12, 2020","111.87","111.90","111.93","111.87","7.83K","-0.05%"
"Nov 11, 2020","111.93","111.85","111.93","111.85","5.37K","0.04%"
"Nov 10, 2020","111.89","111.86","111.90","111.85","3.07K","0.00%"
"Nov 09, 2020","111.89","112.01","112.03","111.88","6.00K","-0.41%"
"Nov 06, 2020","112.35","111.96","112.35","111.95","18.23K","0.37%"
"Nov 05, 2020","111.94","111.98","112.01","111.94","5.81K","-0.05%"
"Nov 04, 2020","112.00","111.99","112.01","111.94","6.02K","0.02%"
"Nov 03, 2020","111.98","111.95","111.98","111.91","5.81K","0.04%"
"Nov 02, 2020","111.94","111.89","111.96","111.89","4.99K","-0.02%"
"Oct 30, 2020","111.96","111.91","111.97","111.90","9.49K","-0.02%"
"Oct 29, 2020","111.98","111.88","111.98","111.87","2.44K","0.10%"
"Oct 28, 2020","111.87","111.89","111.95","111.87","4.69K","-0.11%"
"Oct 27, 2020","111.99","111.92","111.99","111.89","13.69K","-0.36%"
"Oct 26, 2020","112.40","111.93","112.40","111.88","4.24K","-0.01%"
"Oct 23, 2020","112.41","111.85","112.41","111.85","7.00K","0.53%"
"Oct 22, 2020","111.82","111.87","111.91","111.82","4.13K","-0.08%"
"Oct 21, 2020","111.91","111.92","111.94","111.90","5.29K","-0.52%"
