"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2020","12.00","11.96","12.03","11.95","10.96K","1.33%"
"Dec 29, 2020","11.84","11.79","11.84","11.77","43.07K","0.92%"
"Dec 28, 2020","11.74","11.71","11.77","11.70","21.00K","-0.24%"
"Dec 23, 2020","11.76","11.78","11.78","11.73","15.55K","0.87%"
"Dec 22, 2020","11.66","11.69","11.70","11.65","32.22K","-0.31%"
"Dec 21, 2020","11.70","11.78","11.78","11.58","54.19K","-1.43%"
"Dec 18, 2020","11.87","11.81","11.87","11.80","30.15K","0.17%"
"Dec 17, 2020","11.85","11.89","11.90","11.83","10.66K","0.00%"
"Dec 16, 2020","11.84","11.86","11.86","11.79","24.06K","0.68%"
"Dec 15, 2020","11.76","11.71","11.77","11.71","41.45K","0.24%"
"Dec 14, 2020","11.74","11.79","11.79","11.74","57.77K","-0.71%"
"Dec 11, 2020","11.82","11.79","11.84","11.76","53.73K","-0.29%"
"Dec 10, 2020","11.85","11.79","11.87","11.71","18.32K","0.34%"
"Dec 09, 2020","11.81","11.88","11.89","11.81","81.76K","0.00%"
"Dec 08, 2020","11.82","11.80","11.81","11.78","10.32K","-0.12%"
"Dec 07, 2020","11.83","11.77","11.84","11.73","29.90K","0.36%"
"Dec 04, 2020","11.79","11.76","11.79","11.75","31.53K","0.86%"
"Dec 03, 2020","11.69","11.64","11.69","11.62","14.19K","0.72%"
"Dec 02, 2020","11.61","11.60","11.64","11.55","51.60K","-0.15%"
"Dec 01, 2020","11.62","11.62","11.66","11.61","25.03K","1.04%"
"Nov 30, 2020","11.50","11.55","11.62","11.50","22.72K","-2.38%"
"Nov 27, 2020","11.78","11.80","11.82","11.78","21.34K","0.08%"
"Nov 26, 2020","11.77","11.75","11.79","11.75","36.03K","0.51%"
"Nov 25, 2020","11.71","11.69","11.71","11.65","157.07K","-0.68%"
"Nov 24, 2020","11.79","11.79","11.79","11.74","45.97K","0.65%"
"Nov 23, 2020","11.72","11.74","11.77","11.70","22.69K","0.60%"
"Nov 20, 2020","11.65","11.55","11.65","11.55","27.43K","0.52%"
"Nov 19, 2020","11.59","11.54","11.60","11.49","62.73K","-0.21%"
"Nov 18, 2020","11.61","11.61","11.68","11.59","42.13K","0.28%"
"Nov 17, 2020","11.58","11.58","11.59","11.53","23.89K","-0.69%"
"Nov 16, 2020","11.66","11.63","11.68","11.60","246.43K","1.64%"
"Nov 13, 2020","11.47","11.47","11.52","11.46","14.16K","-0.19%"
"Nov 12, 2020","11.49","11.47","11.51","11.44","10.85K","0.26%"
"Nov 11, 2020","11.46","11.34","11.47","11.34","140.99K","0.74%"
"Nov 10, 2020","11.38","11.45","11.51","11.34","72.69K","-2.13%"
"Nov 09, 2020","11.63","11.44","11.74","11.44","76.12K","2.83%"
"Nov 06, 2020","11.31","11.29","11.34","11.21","27.56K","-0.16%"
"Nov 05, 2020","11.33","11.37","11.41","11.28","36.89K","0.68%"
"Nov 04, 2020","11.25","10.93","11.25","10.93","29.15K","3.02%"
"Nov 03, 2020","10.92","11.03","11.07","10.88","31.09K","0.00%"
"Nov 02, 2020","10.92","10.86","10.96","10.85","82.35K","1.24%"
"Oct 30, 2020","10.79","10.75","10.82","10.72","146.58K","-0.85%"
"Oct 29, 2020","10.88","10.87","10.89","10.79","63.66K","0.95%"
"Oct 28, 2020","10.78","10.92","10.92","10.75","106.41K","-1.32%"
"Oct 27, 2020","10.92","10.92","10.95","10.90","33.18K","0.37%"
"Oct 26, 2020","10.88","10.87","10.95","10.86","90.13K","-0.49%"
"Oct 23, 2020","10.94","10.99","10.99","10.92","46.66K","-0.13%"
"Oct 22, 2020","10.95","10.91","10.99","10.91","38.55K","-0.09%"
"Oct 21, 2020","10.96","10.90","10.98","10.88","37.31K","0.31%"
"Oct 20, 2020","10.93","10.96","10.96","10.90","22.75K","0.00%"
"Oct 19, 2020","10.93","10.99","11.00","10.91","17.81K","-0.15%"
"Oct 16, 2020","10.94","10.93","10.97","10.91","12.91K","0.51%"
"Oct 15, 2020","10.89","10.90","10.91","10.81","32.81K","-1.29%"
"Oct 14, 2020","11.03","11.01","11.05","10.99","111.76K","0.09%"
"Oct 13, 2020","11.02","11.01","11.05","11.00","40.46K","0.05%"
"Oct 12, 2020","11.01","10.97","11.02","10.97","17.64K","0.73%"
"Oct 09, 2020","10.93","10.88","10.94","10.84","21.60K","0.74%"
"Oct 08, 2020","10.85","10.82","10.87","10.82","28.65K","0.37%"
"Oct 07, 2020","10.81","10.77","10.82","10.77","57.96K","0.90%"
"Oct 06, 2020","10.72","10.63","10.73","10.63","13.43K","0.90%"
"Oct 05, 2020","10.62","10.60","10.63","10.57","13.52K","-0.15%"
"Oct 02, 2020","10.64","10.56","10.67","10.51","12.42K","0.00%"
"Oct 01, 2020","10.64","10.69","10.71","10.61","45.88K","0.61%"
"Sep 30, 2020","10.57","10.45","10.61","10.44","23.24K","1.59%"
"Sep 29, 2020","10.41","10.41","10.44","10.40","5.51K","-0.63%"
"Sep 28, 2020","10.47","10.47","10.51","10.46","6.53K","1.41%"
"Sep 25, 2020","10.33","10.33","10.33","10.26","48.72K","-0.19%"
"Sep 24, 2020","10.35","10.32","10.35","10.30","13.67K","-1.09%"
"Sep 23, 2020","10.46","10.55","10.57","10.46","7.44K","-0.11%"
"Sep 22, 2020","10.47","10.48","10.53","10.48","22.19K","0.19%"
"Sep 21, 2020","10.45","10.54","10.54","10.42","97.77K","-1.73%"
"Sep 18, 2020","10.64","10.71","10.73","10.66","15.02K","-0.28%"
"Sep 17, 2020","10.67","10.68","10.69","10.60","108.41K","-1.06%"
"Sep 16, 2020","10.78","10.74","10.78","10.73","50.89K","0.52%"
"Sep 15, 2020","10.73","10.64","10.74","10.64","40.72K","1.50%"
"Sep 14, 2020","10.57","10.59","10.60","10.53","57.60K","0.78%"
"Sep 11, 2020","10.49","10.53","10.53","10.47","47.30K","0.33%"
"Sep 10, 2020","10.45","10.50","10.50","10.42","33.43K","-0.40%"
"Sep 09, 2020","10.49","10.45","10.49","10.45","12.55K","0.56%"
"Sep 08, 2020","10.44","10.54","10.55","10.40","46.82K","-0.70%"
"Sep 07, 2020","10.51","10.48","10.52","10.46","27.31K","0.69%"
"Sep 04, 2020","10.44","10.53","10.61","10.42","20.83K","-0.85%"
"Sep 03, 2020","10.53","10.75","10.75","10.53","37.99K","-1.59%"
"Sep 02, 2020","10.70","10.72","10.79","10.69","20.35K","0.87%"
"Sep 01, 2020","10.61","10.57","10.66","10.55","49.37K","1.59%"
"Aug 31, 2020","10.44","10.66","10.66","10.43","29.07K","-2.79%"
"Aug 28, 2020","10.74","10.68","10.74","10.67","20.51K","0.22%"
"Aug 27, 2020","10.72","10.77","10.78","10.74","12.92K","-0.61%"
"Aug 26, 2020","10.78","10.75","10.80","10.75","21.33K","0.60%"
"Aug 25, 2020","10.72","10.72","10.73","10.67","24.74K","0.75%"
"Aug 24, 2020","10.64","10.68","10.70","10.65","28.72K","0.78%"
"Aug 21, 2020","10.56","10.51","10.57","10.47","17.41K","1.91%"
"Aug 20, 2020","10.36","10.38","10.40","10.34","34.60K","-1.58%"
"Aug 19, 2020","10.52","10.53","10.54","10.46","84.11K","0.06%"
"Aug 18, 2020","10.52","10.53","10.58","10.52","5.98K","-0.74%"
"Aug 17, 2020","10.60","10.59","10.60","10.55","26.72K","0.57%"
"Aug 14, 2020","10.54","10.57","10.57","10.49","64.77K","-0.34%"
"Aug 13, 2020","10.57","10.58","10.58","10.53","38.55K","-0.53%"
"Aug 12, 2020","10.63","10.59","10.63","10.58","17.22K","0.40%"
"Aug 11, 2020","10.59","10.61","10.61","10.58","75.72K","0.93%"
"Aug 10, 2020","10.49","10.51","10.54","10.46","18.37K","-0.36%"
"Aug 07, 2020","10.53","10.49","10.56","10.48","15.23K","-0.34%"
"Aug 06, 2020","10.56","10.58","10.64","10.56","34.43K","-0.40%"
"Aug 05, 2020","10.60","10.62","10.62","10.57","19.69K","0.99%"
"Aug 04, 2020","10.50","10.56","10.56","10.50","80.53K","0.31%"
"Aug 03, 2020","10.47","10.42","10.49","10.37","39.46K","1.41%"
"Jul 31, 2020","10.32","10.37","10.40","10.29","22.55K","-0.41%"
"Jul 30, 2020","10.36","10.47","10.47","10.33","65.31K","-1.52%"
"Jul 29, 2020","10.52","10.52","10.54","10.51","10.38K","0.38%"
"Jul 28, 2020","10.48","10.52","10.55","10.45","183.95K","0.52%"
"Jul 27, 2020","10.43","10.40","10.46","10.38","49.31K","0.23%"
"Jul 24, 2020","10.41","10.35","10.41","10.32","160.20K","-1.79%"
"Jul 23, 2020","10.60","10.62","10.64","10.57","16.71K","0.09%"
"Jul 22, 2020","10.59","10.62","10.65","10.56","18.49K","-1.69%"
"Jul 21, 2020","10.77","10.80","10.87","10.75","30.07K","1.24%"
"Jul 20, 2020","10.64","10.50","10.64","10.49","72.66K","1.06%"
"Jul 17, 2020","10.52","10.55","10.56","10.49","97.76K","0.71%"
"Jul 16, 2020","10.45","10.43","10.46","10.38","140.20K","-1.67%"
"Jul 15, 2020","10.63","10.61","10.68","10.60","210.23K","0.43%"
"Jul 14, 2020","10.58","10.62","10.62","10.50","90.42K","-2.43%"
"Jul 13, 2020","10.85","10.84","10.85","10.80","29.78K","1.08%"
"Jul 10, 2020","10.73","10.76","10.79","10.72","73.63K","-0.48%"
"Jul 09, 2020","10.78","10.85","10.90","10.77","133.06K","0.73%"
"Jul 08, 2020","10.70","10.72","10.74","10.68","130.84K","0.45%"
"Jul 07, 2020","10.66","10.58","10.70","10.55","35.29K","-0.67%"
"Jul 06, 2020","10.73","10.63","10.73","10.63","265.53K","2.88%"
"Jul 03, 2020","10.43","10.48","10.48","10.41","370.79K","0.75%"
"Jul 02, 2020","10.35","10.24","10.39","10.24","494.40K","2.80%"
"Jul 01, 2020","10.07","10.08","10.13","10.04","260.94K","0.58%"
"Jun 30, 2020","10.01","10.06","10.08","10.01","30.55K","-0.08%"
"Jun 29, 2020","10.02","9.99","10.01","9.94","4.71K","-0.10%"
"Jun 26, 2020","10.03","10.13","10.15","10.00","76.93K","-0.36%"
"Jun 25, 2020","10.06","9.98","10.09","9.98","18.24K","0.20%"
"Jun 24, 2020","10.04","10.16","10.17","10.10","13.14K","-1.43%"
"Jun 23, 2020","10.19","10.16","10.19","10.15","126.52K","1.09%"
"Jun 22, 2020","10.08","10.10","10.10","10.07","10.94K","-0.41%"
"Jun 19, 2020","10.12","10.12","10.15","10.11","22.75K","0.92%"
"Jun 18, 2020","10.03","10.00","10.06","9.97","70.82K","0.20%"
"Jun 17, 2020","10.01","9.97","10.04","9.97","186.82K","0.93%"
"Jun 16, 2020","9.92","9.86","10.04","9.86","97.88K","2.29%"
"Jun 15, 2020","9.70","9.63","9.72","9.63","71.23K","-1.78%"
"Jun 12, 2020","9.87","9.80","9.89","9.80","49.38K","1.16%"
"Jun 11, 2020","9.76","9.89","9.89","9.76","238.86K","-2.99%"
"Jun 10, 2020","10.06","10.12","10.12","10.05","137.82K","0.36%"
"Jun 09, 2020","10.02","10.18","10.18","9.99","31.99K","-0.59%"
"Jun 08, 2020","10.08","10.05","10.11","10.03","69.52K","-0.71%"
"Jun 05, 2020","10.16","9.93","10.14","9.93","53.63K","3.05%"
"Jun 04, 2020","9.85","9.94","9.97","9.84","205.47K","-1.98%"
"Jun 03, 2020","10.05","9.90","10.05","9.90","105.39K","2.25%"
"Jun 02, 2020","9.83","9.72","9.88","9.72","183.61K","2.02%"
"Jun 01, 2020","9.64","9.65","9.65","9.58","8.25K","3.01%"
"May 29, 2020","9.36","9.39","9.43","9.36","32.36K","-1.15%"
"May 28, 2020","9.47","9.50","9.51","9.47","36.07K","-0.08%"
"May 27, 2020","9.47","9.52","9.57","9.44","113.76K","-1.00%"
"May 26, 2020","9.57","9.57","9.61","9.55","91.82K","0.62%"
"May 25, 2020","9.51","9.45","9.51","9.43","9.17K","1.35%"
"May 22, 2020","9.38","9.32","9.44","9.32","74.45K","-1.02%"
"May 21, 2020","9.48","9.55","9.55","9.46","223.74K","-1.69%"
"May 20, 2020","9.64","9.60","9.64","9.59","5.50K","0.41%"
"May 19, 2020","9.60","9.53","9.59","9.50","101.01K","0.16%"
"May 18, 2020","9.59","9.44","9.59","9.44","54.95K","3.11%"
"May 15, 2020","9.30","9.43","9.43","9.28","12.34K","-0.39%"
"May 14, 2020","9.34","9.37","9.39","9.24","224.67K","-1.25%"
"May 13, 2020","9.45","9.47","9.53","9.44","31.57K","-1.09%"
"May 12, 2020","9.56","9.45","9.56","9.43","5.76K","0.63%"
"May 11, 2020","9.50","9.57","9.58","9.48","170.34K","-0.29%"
"May 08, 2020","9.53","9.44","9.54","9.44","190.01K","1.56%"
"May 07, 2020","9.38","9.38","9.41","9.35","11.65K","0.89%"
"May 06, 2020","9.30","9.43","9.45","9.30","74.33K","-0.44%"
"May 05, 2020","9.34","9.28","9.34","9.27","69.11K","2.48%"
"May 04, 2020","9.11","9.11","9.13","9.07","117.34K","-3.96%"
"Apr 30, 2020","9.49","9.72","9.74","9.49","586.39K","-1.13%"
"Apr 29, 2020","9.60","9.47","9.60","9.47","36.53K","1.78%"
"Apr 28, 2020","9.43","9.38","9.50","9.38","32.65K","0.79%"
"Apr 27, 2020","9.35","9.33","9.36","9.32","30.62K","2.20%"
