"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","81.30","81.27","81.41","81.15","26.60K","-0.17%"
"Dec 30, 2020","81.44","81.50","81.60","81.42","21.23K","-0.10%"
"Dec 29, 2020","81.52","81.80","81.86","81.36","11.60K","1.14%"
"Dec 24, 2020","80.60","80.61","80.75","80.58","17.46K","-0.10%"
"Dec 23, 2020","80.68","80.44","80.75","80.43","35.43K","0.32%"
"Dec 22, 2020","80.42","80.16","80.74","80.16","34.96K","0.78%"
"Dec 21, 2020","79.80","80.56","80.64","78.77","95.47K","-0.98%"
"Dec 18, 2020","80.59","80.95","81.26","80.57","35.68K","-0.57%"
"Dec 17, 2020","81.05","81.07","81.14","80.90","49.31K","0.45%"
"Dec 16, 2020","80.69","80.50","80.76","80.40","41.45K","0.98%"
"Dec 15, 2020","79.91","79.65","80.11","79.64","45.47K","-0.17%"
"Dec 14, 2020","80.05","80.22","80.55","80.05","23.99K","0.72%"
"Dec 11, 2020","79.48","79.92","79.92","79.09","33.38K","-0.79%"
"Dec 10, 2020","80.11","80.03","80.22","79.48","60.40K","-0.56%"
"Dec 09, 2020","80.56","80.80","80.94","80.48","37.48K","0.04%"
"Dec 08, 2020","80.53","80.22","80.54","80.01","25.51K","0.02%"
"Dec 07, 2020","80.51","80.29","80.54","80.10","14.41K","0.07%"
"Dec 04, 2020","80.45","80.07","80.46","80.03","44.07K","0.34%"
"Dec 03, 2020","80.18","79.95","80.23","79.80","108.01K","0.44%"
"Dec 02, 2020","79.83","79.60","79.84","79.43","29.52K","-0.14%"
"Dec 01, 2020","79.94","79.61","80.14","79.56","47.03K","1.95%"
"Nov 30, 2020","78.41","78.79","79.14","78.37","38.70K","-1.16%"
"Nov 27, 2020","79.33","79.50","79.50","79.16","19.29K","0.23%"
"Nov 26, 2020","79.15","79.32","79.32","79.06","23.44K","0.17%"
"Nov 25, 2020","79.01","79.38","79.51","78.93","33.34K","-0.12%"
