"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2020","252.03","252.03","252.03","252.03","-","0.04%"
"Dec 29, 2020","251.92","252.00","252.05","251.98","3.52K","0.02%"
"Dec 28, 2020","251.87","251.88","251.98","251.64","1.93K","0.09%"
"Dec 23, 2020","251.64","252.16","252.16","251.64","0.01K","-0.15%"
"Dec 22, 2020","252.03","252.21","252.26","251.77","2.10K","0.06%"
"Dec 21, 2020","251.87","252.22","252.28","251.96","0.81K","-0.03%"
"Dec 18, 2020","251.94","252.08","252.16","251.65","0.52K","-0.06%"
"Dec 17, 2020","252.10","252.27","252.50","252.26","3.13K","0.05%"
"Dec 16, 2020","251.98","252.32","252.32","252.32","0.02K","-0.19%"
"Dec 15, 2020","252.45","252.54","252.64","252.43","0.06K","0.03%"
"Dec 14, 2020","252.37","252.55","252.57","252.32","0.04K","-0.01%"
"Dec 11, 2020","252.40","252.40","252.40","252.40","-","0.10%"
"Dec 10, 2020","252.16","252.37","252.62","251.75","2.67K","0.01%"
"Dec 09, 2020","252.14","252.09","252.23","251.87","0.10K","0.02%"
"Dec 08, 2020","252.08","252.08","252.08","252.08","-","0.12%"
"Dec 07, 2020","251.78","251.90","251.90","251.57","0.04K","0.10%"
"Dec 04, 2020","251.54","251.54","251.54","251.54","0.01K","-0.07%"
"Dec 03, 2020","251.72","251.24","251.72","251.24","0.63K","0.24%"
"Dec 02, 2020","251.12","251.16","251.25","250.97","1.24K","0.04%"
"Dec 01, 2020","251.03","251.82","251.82","250.92","0.56K","-0.23%"
"Nov 30, 2020","251.62","251.80","251.80","251.71","0.25K","-0.09%"
"Nov 27, 2020","251.84","251.77","251.95","251.77","0.12K","0.00%"
"Nov 26, 2020","251.84","251.71","251.87","251.71","0.05K","0.05%"
"Nov 25, 2020","251.72","251.88","251.88","251.71","2.83K","-0.01%"
"Nov 23, 2020","251.74","251.80","251.87","251.67","0.23K","0.00%"
"Nov 20, 2020","251.73","251.68","251.78","251.68","0.08K","0.06%"
"Nov 19, 2020","251.57","251.40","251.64","251.40","3.98K","0.04%"
"Nov 18, 2020","251.48","251.67","251.67","251.52","0.13K","-0.03%"
"Nov 17, 2020","251.55","251.37","251.37","251.37","0.03K","0.09%"
"Nov 16, 2020","251.32","251.49","251.49","251.10","0.84K","0.05%"
"Nov 13, 2020","251.19","251.06","251.22","251.06","0.07K","0.07%"
"Nov 12, 2020","251.02","250.75","251.09","250.67","1.58K","0.15%"
"Nov 11, 2020","250.65","250.22","250.86","250.22","2.70K","0.09%"
"Nov 10, 2020","250.43","250.58","250.58","250.58","0.08K","-0.06%"
"Nov 09, 2020","250.57","252.17","252.19","250.57","1.64K","-0.47%"
"Nov 06, 2020","251.75","251.88","251.88","251.85","0.11K","-0.03%"
"Nov 05, 2020","251.82","252.14","252.14","251.80","24.60K","0.01%"
"Nov 04, 2020","251.79","251.71","251.71","251.71","0.31K","0.12%"
"Nov 02, 2020","251.49","251.44","251.44","251.44","1.01K","0.06%"
"Oct 30, 2020","251.34","251.51","251.51","251.51","0.00K","0.16%"
"Oct 28, 2020","250.95","251.23","251.23","251.23","0.51K","-0.11%"
"Oct 27, 2020","251.22","250.93","250.93","250.93","0.00K","0.16%"
"Oct 26, 2020","250.83","250.83","250.83","250.83","-","0.04%"
"Oct 23, 2020","250.74","250.78","250.78","250.52","0.92K","0.09%"
"Oct 22, 2020","250.52","250.84","250.85","250.84","1.07K","-0.12%"
"Oct 21, 2020","250.81","250.79","250.86","250.79","3.06K","-0.18%"
"Oct 19, 2020","251.27","251.23","251.33","251.21","0.33K","-0.11%"
"Oct 16, 2020","251.54","251.23","251.23","251.23","0.00K","0.13%"
"Oct 15, 2020","251.22","251.38","251.47","251.31","0.43K","0.00%"
"Oct 14, 2020","251.22","251.36","251.44","251.31","0.99K","0.12%"
"Oct 12, 2020","250.93","251.00","251.00","251.00","0.30K","0.09%"
"Oct 09, 2020","250.70","250.70","250.85","250.60","0.60K","0.12%"
"Oct 08, 2020","250.41","250.22","250.49","250.18","17.20K","0.16%"
"Oct 07, 2020","250.02","250.06","250.20","250.06","0.35K","-0.03%"
"Oct 06, 2020","250.09","250.25","250.25","250.22","0.48K","0.03%"
"Oct 05, 2020","250.01","250.28","250.28","250.28","0.03K","-0.11%"
"Oct 02, 2020","250.28","250.28","250.28","250.28","-","0.11%"
"Oct 01, 2020","250.01","249.68","249.68","249.68","0.05K","0.11%"
"Sep 30, 2020","249.73","249.82","249.82","249.82","0.16K","-0.12%"
"Sep 29, 2020","250.02","250.02","250.02","250.02","-","0.09%"
"Sep 28, 2020","249.79","249.85","249.87","249.62","0.55K","0.02%"
"Sep 25, 2020","249.73","249.85","249.94","249.61","0.70K","0.01%"
"Sep 24, 2020","249.70","249.84","250.21","249.84","0.05K","-0.07%"
"Sep 23, 2020","249.88","250.20","250.20","250.12","0.70K","0.00%"
"Sep 22, 2020","249.87","250.00","250.00","250.00","0.07K","0.05%"
"Sep 21, 2020","249.75","249.37","249.84","249.36","0.47K","0.18%"
"Sep 18, 2020","249.29","249.71","249.76","249.71","0.48K","-0.06%"
"Sep 17, 2020","249.43","249.23","249.71","249.23","0.72K","0.07%"
"Sep 16, 2020","249.25","249.30","249.30","249.30","0.01K","0.04%"
"Sep 15, 2020","249.14","248.80","249.06","248.68","1.00K","0.06%"
"Sep 14, 2020","248.99","248.99","248.99","248.99","-","0.06%"
"Sep 11, 2020","248.84","248.95","248.96","248.95","0.27K","0.19%"
"Sep 10, 2020","248.37","248.49","248.80","248.40","1.94K","-0.08%"
"Sep 09, 2020","248.56","249.12","249.12","248.40","0.84K","-0.09%"
"Sep 08, 2020","248.79","248.32","248.32","248.31","0.12K","0.11%"
"Sep 07, 2020","248.51","248.52","248.81","248.52","0.15K","-0.08%"
"Sep 04, 2020","248.72","249.14","249.15","248.81","0.16K","-0.10%"
"Sep 03, 2020","248.98","249.12","249.16","249.12","0.08K","0.00%"
"Sep 02, 2020","248.98","248.67","249.12","248.67","0.37K","0.31%"
"Sep 01, 2020","248.20","248.00","248.00","248.00","0.01K","0.13%"
"Aug 31, 2020","247.87","247.79","247.79","247.79","0.03K","-0.13%"
"Aug 28, 2020","248.20","247.86","247.86","247.86","0.01K","0.06%"
"Aug 27, 2020","248.05","248.71","248.71","247.86","0.02K","-0.01%"
"Aug 26, 2020","248.07","248.07","248.07","248.07","-","0.01%"
"Aug 25, 2020","248.04","248.04","248.04","248.04","-","-0.35%"
"Aug 24, 2020","248.91","249.22","249.22","249.05","0.76K","-0.06%"
"Aug 21, 2020","249.05","249.31","249.32","249.31","0.26K","-0.01%"
"Aug 20, 2020","249.07","249.18","249.27","249.15","0.38K","0.04%"
"Aug 19, 2020","248.97","249.25","249.25","249.15","0.04K","0.14%"
"Aug 17, 2020","248.62","248.43","248.62","248.43","0.26K","0.19%"
"Aug 14, 2020","248.16","248.12","248.24","248.12","0.13K","0.06%"
"Aug 13, 2020","248.01","248.94","248.94","247.77","3.66K","-0.28%"
"Aug 12, 2020","248.70","248.62","249.00","248.62","0.84K","-0.10%"
"Aug 11, 2020","248.94","249.56","249.57","249.19","2.24K","-0.15%"
"Aug 10, 2020","249.32","249.17","249.59","249.17","1.58K","0.07%"
"Aug 07, 2020","249.14","249.14","249.14","249.14","-","-0.06%"
"Aug 06, 2020","249.29","249.36","249.36","249.36","0.60K","0.19%"
"Aug 05, 2020","248.82","248.90","249.00","248.74","1.71K","-0.18%"
"Aug 04, 2020","249.26","249.17","249.17","249.17","0.28K","0.20%"
"Aug 03, 2020","248.77","247.97","248.73","247.96","0.55K","-0.04%"
"Jul 31, 2020","248.86","248.86","248.86","248.86","-","-0.10%"
"Jul 30, 2020","249.10","248.83","249.27","248.83","1.33K","0.20%"
"Jul 29, 2020","248.60","248.60","248.60","248.60","-","0.00%"
"Jul 28, 2020","248.60","248.51","248.51","248.50","0.13K","-0.02%"
"Jul 27, 2020","248.64","248.33","248.70","248.33","1.70K","0.16%"
