"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2020","53.92","54.09","54.12","53.91","2.88K","-0.52%"
"Dec 29, 2020","54.20","54.38","54.45","54.21","0.15K","0.09%"
"Dec 28, 2020","54.15","54.00","54.16","54.00","1.28K","1.06%"
"Dec 23, 2020","53.58","53.17","53.48","53.16","1.78K","1.32%"
"Dec 22, 2020","52.88","52.60","52.84","52.57","14.67K","1.36%"
"Dec 21, 2020","52.17","52.36","52.36","51.49","23.21K","-2.65%"
"Dec 18, 2020","53.59","53.94","54.11","53.86","6.28K","-0.46%"
"Dec 17, 2020","53.84","53.85","54.00","53.83","9.03K","0.56%"
"Dec 16, 2020","53.54","53.59","53.78","53.47","10.87K","0.62%"
"Dec 15, 2020","53.21","53.00","53.31","53.00","22.40K","0.32%"
"Dec 14, 2020","53.04","53.18","53.34","53.08","24.38K","0.63%"
"Dec 11, 2020","52.71","53.10","53.10","52.80","0.29K","-1.09%"
"Dec 10, 2020","53.29","53.42","53.51","52.96","7.19K","-0.26%"
"Dec 09, 2020","53.43","53.70","53.70","53.54","4.89K","0.17%"
"Dec 08, 2020","53.34","53.35","53.35","53.03","43.41K","-0.04%"
"Dec 07, 2020","53.36","53.37","53.37","53.00","8.69K","-0.17%"
"Dec 04, 2020","53.45","53.32","53.50","53.29","2.90K","0.43%"
"Dec 03, 2020","53.22","53.23","53.23","52.98","56.51K","0.00%"
"Dec 02, 2020","53.22","53.06","53.26","52.97","7.61K","-0.30%"
"Dec 01, 2020","53.38","53.06","53.36","53.06","7.77K","0.68%"
"Nov 30, 2020","53.02","52.99","53.42","52.99","4.99K","-0.86%"
"Nov 27, 2020","53.48","53.15","53.45","53.15","6.11K","0.62%"
"Nov 26, 2020","53.15","53.19","53.21","53.08","14.07K","-0.02%"
"Nov 25, 2020","53.16","53.09","53.09","52.84","11.43K","0.23%"
"Nov 24, 2020","53.04","52.90","53.05","52.88","13.00K","1.01%"
"Nov 23, 2020","52.51","53.01","53.01","52.55","5.91K","0.21%"
"Nov 20, 2020","52.40","52.26","52.60","52.26","15.21K","0.48%"
"Nov 19, 2020","52.15","52.14","52.31","52.08","1.01K","-0.93%"
"Nov 18, 2020","52.64","52.40","52.67","52.40","0.82K","0.38%"
"Nov 17, 2020","52.44","52.26","52.42","52.05","5.32K","-0.13%"
"Nov 16, 2020","52.51","52.36","52.73","52.23","11.69K","0.96%"
"Nov 13, 2020","52.01","51.86","52.00","51.85","0.58K","0.21%"
"Nov 12, 2020","51.90","52.06","52.06","51.76","27.13K","-1.09%"
"Nov 11, 2020","52.47","52.00","52.47","52.00","8.47K","0.50%"
"Nov 10, 2020","52.21","51.62","52.23","51.41","15.82K","1.36%"
"Nov 09, 2020","51.51","49.10","52.00","49.10","88.35K","6.47%"
"Nov 06, 2020","48.38","48.69","48.69","47.94","22.31K","-0.35%"
"Nov 05, 2020","48.55","48.30","48.65","48.13","33.20K","1.81%"
"Nov 04, 2020","47.69","46.34","47.78","46.34","39.36K","1.87%"
"Nov 03, 2020","46.81","45.96","46.60","45.87","34.44K","2.66%"
"Nov 02, 2020","45.60","44.69","45.69","44.69","7.39K","1.84%"
"Oct 30, 2020","44.77","44.24","44.83","44.24","25.59K","0.39%"
"Oct 29, 2020","44.60","44.90","44.99","44.25","23.77K","0.01%"
"Oct 28, 2020","44.59","45.20","45.35","44.28","180.20K","-3.80%"
"Oct 27, 2020","46.35","46.72","46.83","46.35","14.34K","-1.10%"
"Oct 26, 2020","46.87","47.26","47.38","46.94","2.98K","-2.80%"
"Oct 23, 2020","48.22","47.98","48.40","47.98","3.87K","0.74%"
"Oct 22, 2020","47.86","47.40","47.74","47.40","0.80K","-0.28%"
"Oct 21, 2020","47.99","48.80","48.80","48.04","2.61K","-1.68%"
"Oct 20, 2020","48.81","48.90","48.90","48.74","0.58K","-0.34%"
"Oct 19, 2020","48.98","49.47","49.47","49.01","16.01K","-0.12%"
"Oct 16, 2020","49.04","48.56","49.21","48.47","30.65K","1.81%"
"Oct 15, 2020","48.17","48.47","48.47","48.03","21.03K","-2.63%"
"Oct 14, 2020","49.47","49.46","49.58","49.36","8.63K","0.00%"
"Oct 13, 2020","49.47","49.75","49.81","49.37","4.98K","-0.77%"
"Oct 12, 2020","49.85","49.50","49.90","49.50","0.79K","0.87%"
"Oct 09, 2020","49.42","49.39","49.46","49.19","5.59K","0.32%"
"Oct 08, 2020","49.26","49.20","49.24","48.85","7.35K","0.99%"
"Oct 07, 2020","48.78","48.87","48.94","48.65","24.33K","-0.15%"
"Oct 06, 2020","48.85","48.40","49.10","48.40","7.09K","0.36%"
"Oct 05, 2020","48.68","48.53","48.69","48.51","5.12K","1.17%"
"Oct 02, 2020","48.12","47.70","48.17","47.70","4.89K","-0.10%"
"Oct 01, 2020","48.17","48.60","48.60","48.06","16.90K","-0.39%"
"Sep 30, 2020","48.35","48.26","48.54","48.06","13.72K","-0.28%"
"Sep 29, 2020","48.49","48.52","48.67","48.28","11.48K","-0.49%"
"Sep 28, 2020","48.73","48.24","48.65","48.24","8.72K","3.15%"
"Sep 25, 2020","47.24","47.64","47.64","46.76","43.98K","-0.82%"
"Sep 24, 2020","47.63","47.81","47.95","47.44","9.44K","-0.79%"
"Sep 23, 2020","48.01","48.33","48.59","48.26","37.10K","0.19%"
"Sep 22, 2020","47.92","47.91","48.19","47.83","62.18K","0.74%"
"Sep 21, 2020","47.57","49.08","49.08","47.57","7.98K","-4.25%"
"Sep 18, 2020","49.68","49.93","50.10","49.65","0.46K","-0.84%"
"Sep 17, 2020","50.10","49.81","50.13","49.79","18.86K","-0.38%"
"Sep 16, 2020","50.29","50.35","50.39","50.13","0.61K","-0.04%"
"Sep 15, 2020","50.31","49.94","50.41","49.94","35.99K","0.44%"
"Sep 14, 2020","50.09","50.10","50.10","49.98","6.76K","-0.02%"
"Sep 11, 2020","50.10","49.91","50.05","49.81","8.72K","0.10%"
"Sep 10, 2020","50.05","50.33","50.35","49.90","1.29K","-0.42%"
"Sep 09, 2020","50.26","49.47","50.16","49.47","6.43K","1.86%"
"Sep 08, 2020","49.34","50.07","50.07","49.04","19.32K","-1.22%"
"Sep 07, 2020","49.95","49.54","50.05","49.44","26.99K","1.89%"
"Sep 04, 2020","49.03","49.89","50.13","48.99","52.80K","-1.39%"
"Sep 03, 2020","49.72","51.02","51.25","49.72","57.68K","-1.06%"
"Sep 02, 2020","50.25","49.76","50.63","49.76","3.33K","1.76%"
"Sep 01, 2020","49.38","49.66","49.97","49.01","18.72K","0.17%"
"Aug 31, 2020","49.29","50.39","50.43","49.35","3.78K","-1.47%"
"Aug 28, 2020","50.03","49.99","50.28","49.80","31.04K","-0.30%"
"Aug 27, 2020","50.18","50.50","50.58","50.17","9.49K","-0.85%"
"Aug 26, 2020","50.61","50.23","50.63","50.23","4.36K","0.68%"
"Aug 25, 2020","50.27","50.72","50.85","50.25","39.17K","0.04%"
"Aug 24, 2020","50.25","49.81","50.26","49.81","3.17K","2.35%"
"Aug 21, 2020","49.10","49.49","49.57","48.59","30.72K","-0.64%"
"Aug 20, 2020","49.41","49.49","49.56","49.24","7.78K","-1.24%"
"Aug 19, 2020","50.03","49.45","50.05","49.42","8.49K","1.06%"
"Aug 18, 2020","49.51","49.63","50.25","49.49","7.22K","-0.84%"
"Aug 17, 2020","49.92","49.94","50.03","49.72","21.94K","0.05%"
"Aug 14, 2020","49.90","49.74","49.85","49.40","47.66K","-1.21%"
"Aug 13, 2020","50.51","50.73","50.81","50.36","20.27K","-0.57%"
"Aug 12, 2020","50.80","50.28","50.55","50.28","1.45K","1.09%"
"Aug 11, 2020","50.25","49.71","50.49","49.71","12.28K","2.26%"
"Aug 10, 2020","49.14","49.03","49.31","48.92","6.33K","0.33%"
"Aug 07, 2020","48.98","48.76","49.08","48.67","27.86K","0.11%"
"Aug 06, 2020","48.92","49.15","49.56","48.65","39.39K","-0.66%"
"Aug 05, 2020","49.25","49.51","49.60","49.21","14.79K","0.43%"
"Aug 04, 2020","49.04","49.38","49.38","48.73","23.84K","-0.06%"
"Aug 03, 2020","49.07","47.98","49.22","47.90","13.43K","2.08%"
"Jul 31, 2020","48.07","48.53","48.90","48.01","17.12K","-0.39%"
"Jul 30, 2020","48.26","49.71","49.71","47.92","22.07K","-3.19%"
"Jul 29, 2020","49.85","49.87","49.94","49.77","4.18K","-0.07%"
"Jul 28, 2020","49.88","49.85","49.97","49.48","20.98K","0.04%"
"Jul 27, 2020","49.87","49.80","50.03","49.67","8.64K","-0.13%"
"Jul 24, 2020","49.93","50.12","50.12","49.75","23.79K","-1.83%"
"Jul 23, 2020","50.86","51.17","51.17","50.86","3.85K","0.10%"
"Jul 22, 2020","50.81","51.19","51.19","50.80","27.14K","-1.03%"
"Jul 21, 2020","51.34","51.51","51.98","51.47","19.58K","0.45%"
"Jul 20, 2020","51.11","50.34","51.12","50.26","64.10K","0.73%"
"Jul 17, 2020","50.74","50.82","50.83","50.57","81.52K","0.06%"
"Jul 16, 2020","50.71","50.58","50.83","50.36","11.25K","-0.55%"
"Jul 15, 2020","50.99","50.32","51.08","50.32","9.45K","1.90%"
"Jul 14, 2020","50.04","49.78","50.04","49.43","12.97K","-0.89%"
"Jul 13, 2020","50.49","50.08","50.39","49.84","5.27K","1.79%"
"Jul 10, 2020","49.60","49.04","49.69","48.90","10.48K","0.91%"
"Jul 09, 2020","49.15","49.78","49.90","49.11","1.68K","-0.68%"
"Jul 08, 2020","49.49","49.75","50.05","49.51","11.14K","-1.12%"
"Jul 07, 2020","50.05","49.97","50.02","49.65","21.74K","-0.77%"
"Jul 06, 2020","50.44","50.53","50.56","50.15","7.21K","2.07%"
"Jul 03, 2020","49.42","49.63","49.63","49.33","0.11K","-0.95%"
"Jul 02, 2020","49.89","49.04","50.11","49.04","17.20K","2.95%"
"Jul 01, 2020","48.46","48.83","48.83","47.86","7.37K","-0.47%"
"Jun 30, 2020","48.69","48.53","48.75","48.30","3.76K","0.00%"
"Jun 29, 2020","48.69","48.30","48.73","48.02","26.25K","1.14%"
"Jun 26, 2020","48.14","48.86","48.95","48.11","5.78K","-0.76%"
"Jun 25, 2020","48.51","47.49","48.54","47.30","13.69K","0.99%"
"Jun 24, 2020","48.03","49.25","49.27","48.03","5.12K","-3.17%"
"Jun 23, 2020","49.60","48.95","49.81","48.95","70.94K","2.05%"
"Jun 22, 2020","48.61","48.51","49.10","48.50","27.71K","-0.94%"
"Jun 19, 2020","49.07","49.13","49.50","48.97","24.22K","0.79%"
"Jun 18, 2020","48.69","48.74","49.22","48.32","20.01K","-0.49%"
"Jun 17, 2020","48.92","48.67","49.16","48.50","40.84K","0.68%"
